word,pos_symbol,pos_word,meaning
íngud,v,verb,"to be close by, to move closer, to be intimate with, be beside of."
íngus,v,verb,"to sniffle, to draw air audibly."
ípa-,va,verbal affix,designating causation of action by the actor.
íping,v,verb,"to seat next to, to be at the side of, to adjoin."
ípit,v,verb,"to compress, to squeeze, to press between."
íput,n,noun,"feces, animal waste matter;  anus."
íput,v,verb,to move the bowel.
irás,v,verb,"to feel uncomfortable with, to have a low regard for."
isá,num,numeral,one;  first.
ísda’,n,noun,fish.
ísda’,v,verb,"to catch fish, to go out to the sea to catch fish."
ísi’ísi,v,verb,"to walk unsteadily, to stagger, to be unsteady in walking."
ísip,n,noun,"number, count."
ísip,v,verb,"to count, to reckon, to enumerate."
