Word,Part of speech,affixation,meaning,example,English example,source
alibakaw,noun,,betel nut,,,https://en.wiktionary.org/wiki/alibakaw
alibangbang,noun,,"(Naga) dragonfly
Synonym: atibagros",,,https://en.wiktionary.org/wiki/alibangbang
aligi,noun,,crab fat,,,https://en.wiktionary.org/wiki/aligi
alimokon,noun,,pigeon,,,https://en.wiktionary.org/wiki/alimokon
alimosan,noun,,mudskipper,,,https://en.wiktionary.org/wiki/alimosan
alimpulos,noun,,a whirlwind; a tornado; a dust devil; a waterspout,,,https://en.wiktionary.org/wiki/alimpulos
aliwatan,noun,,wrist,,,https://en.wiktionary.org/wiki/aliwatan
alkansiya,noun,,piggy bank,,,https://en.wiktionary.org/wiki/alkansiya
alkitran,noun,,pitch,,,https://en.wiktionary.org/wiki/alkitran
almanaki,noun,,"almanac, calendar",,,https://en.wiktionary.org/wiki/almanaki
almidon,noun,,starch,,,https://en.wiktionary.org/wiki/almidon
almohada,noun,,"cushion, pillow",,,https://en.wiktionary.org/wiki/almohada
almohadon,noun,,a large cushion or pillow,,,https://en.wiktionary.org/wiki/almohadon
almon,noun,,nowhere,,,https://en.wiktionary.org/wiki/almon
almoranas,noun,,(pathology) hemorrhoid,,,https://en.wiktionary.org/wiki/almoranas
alom,noun,,"a tree, Melanolepsis multiglandulosa",,,https://en.wiktionary.org/wiki/alom
aloy,noun,,termite,,,https://en.wiktionary.org/wiki/aloy
alpombra,noun,,"carpet
Synonym: karpet",,,https://en.wiktionary.org/wiki/alpombra
alugbati,noun,,the Malabar spinach (Basella alba),,,https://en.wiktionary.org/wiki/alugbati
aluntaga,noun,,the rung or step of a ladder,,,https://en.wiktionary.org/wiki/aluntaga
amapola,noun,,a poppy; any plant of the genus Papaver,,,https://en.wiktionary.org/wiki/amapola
amay,noun,,"(transitive and intransitive, obsolete) to dismay; confound; be dismayed",,,https://en.wiktionary.org/wiki/amay
amba sang pispis,noun,,warbler,,,https://en.wiktionary.org/wiki/amba_sang_pispis
ambahan,noun,,"chanted verse, characterized by the use of seven-foot lines; by conspicuous lack of loanwords (from Spanish, Tagalog, or Hiligaynon); by many archaic Hanunoo terms; and by being sung always without instrumental accompaniment",,,https://en.wiktionary.org/wiki/ambahan
ambulansya,noun,,ambulance,,,https://en.wiktionary.org/wiki/ambulansya
ami,noun,,(international standards) ISO 639-3 language code for Amis.,,,https://en.wiktionary.org/wiki/ami
amidol,noun,,"The hydrochloride of the amino-phenol 2,4-diaminophenol, used as a photographic developer.",,,https://en.wiktionary.org/wiki/amidol
amihan,noun,,"north
Synonym: norte",,,https://en.wiktionary.org/wiki/amihan
aminhan,noun,,"north
Synonym: norte",,,https://en.wiktionary.org/wiki/aminhan
amlig,noun,,"care, caution",,,https://en.wiktionary.org/wiki/amlig
amo,noun,,(international standards) ISO 639-3 language code for Amo.,,,https://en.wiktionary.org/wiki/amo
amorokpok,noun,,"meteorite, shooting star",,,https://en.wiktionary.org/wiki/amorokpok
amoy,noun,,small monkey,,,https://en.wiktionary.org/wiki/amoy
ampis,noun,,the front part of a bahag,,,https://en.wiktionary.org/wiki/ampis
ampo,noun,,A Javan snack food consisting of thin sticks of baked earth.,,,https://en.wiktionary.org/wiki/ampo
amumuklid,noun,,toadstool,,,https://en.wiktionary.org/wiki/amumuklid
amyon,noun,,"fragrance, scent, smell",,,https://en.wiktionary.org/wiki/amyon
anak,noun,,"Marks the topic of the clause, sentence, or conversation.
1905, John Bachelor, An Ainu-English-Japanese Dictionary (Including a Grammar of the Ainu Language):Meko anak ne chikap ehopiye, ""the cat sprang upon the bird.""",,,https://en.wiktionary.org/wiki/anak
anak nga babae,noun,,daughter,,,https://en.wiktionary.org/wiki/anak_nga_babae
anak-anak,noun,,an adoptee; an adopted son or daughter,,,https://en.wiktionary.org/wiki/anak-anak
anay,noun,,bandicoot,,,https://en.wiktionary.org/wiki/anay
andamio,noun,,"scaffold
Synonym: estada",,,https://en.wiktionary.org/wiki/andamio
anekdota,noun,,joke,,,https://en.wiktionary.org/wiki/anekdota
anhel,noun,,"yearning, desire
Synonyms: deler, desig",,,https://en.wiktionary.org/wiki/anhel
anila,noun,,beehive,,,https://en.wiktionary.org/wiki/anila
aninipot,noun,,firefly,,,https://en.wiktionary.org/wiki/aninipot
ankla,noun,,anchor,,,https://en.wiktionary.org/wiki/ankla
anting-anting,noun,,(Philippines) A Filipino amulet or talisman.,,,https://en.wiktionary.org/wiki/anting-anting
antipara,noun,,"eyeglasses, glasses, spectacles
Synonyms: antiohos, tagosilang",,,https://en.wiktionary.org/wiki/antipara
anghel,noun,,angel,,,https://en.wiktionary.org/wiki/anghel
anghit,noun,,smell or odor of a goat,,,https://en.wiktionary.org/wiki/anghit
angkod,noun,,incisor; front teeth,,,https://en.wiktionary.org/wiki/angkod
angso,noun,,odor or stench of urine,,,https://en.wiktionary.org/wiki/angso
apan,noun,,"(fandom slang) A member of an amateur press association.
1990 August, Guy Lillian, “'Tis the Season”, in Mimosa‎[1], number 8, page 4:The greatest apan of all time lives on a quiet old street rising above Hagerstown, Maryland.
1998 October 3, Brown, Rich [Dr Gafia], “Fan Terms (1)”, in rec.arts.sf.fandom‎[2] (Usenet), retrieved 13 June 2018, message-ID <19981003020622.14181.00000964@ng52.aol.com>:Most of the participants in the mundane apas are hobby printers—-and the disdain with which our fandom once viewed Xeroxing of fanzines is but a pale reflection of the way mundane apans have looked upon the mimeo and the ditto as a means of publishing ""papers"" (as they call their amateur publications).
2006 May, Arnie Katz, “The Thin Veneer”, in confuSon‎[3], volume 1, number 4:I immediately began a cutback. I remained an enthusiastic apan, but by the time I gafiated around 1976, I was in only one, FAPA.",,,https://en.wiktionary.org/wiki/apan
aparador,noun,,cupboard,,,https://en.wiktionary.org/wiki/aparador
apdo,noun,,gall; bile,,,https://en.wiktionary.org/wiki/apdo
apendisitis,noun,,appendicitis,,,https://en.wiktionary.org/wiki/apendisitis
apian,noun,,"Relating to bees.
1904, Harper's New Monthly Magazine, volume 108, page 559:In fact, apian, formican, vespal, and termital government is not a monarchy, but a pure democracy. The queens of ants, bees, wasps, and termites wear the crown of maternity — no other.",,,https://en.wiktionary.org/wiki/apian
apitong,noun,,The medium hardwood tree Dipterocarpus grandiflorus.,,,https://en.wiktionary.org/wiki/apitong
apo,noun,,(international standards) ISO 639-3 language code for Ambul.,,,https://en.wiktionary.org/wiki/apo
apo nga babae,noun,,granddaughter,,,https://en.wiktionary.org/wiki/apo_nga_babae
apo nga lalaki,noun,,grandson,,,https://en.wiktionary.org/wiki/apo_nga_lalaki
apog,noun,,"(chemistry) lime
Synonym: puti",,,https://en.wiktionary.org/wiki/apog
apok,noun,,ergative indefinite of apo,,,https://en.wiktionary.org/wiki/apok
ara,noun,,(international standards) ISO 639-2 & ISO 639-3 language code for Arabic.,,,https://en.wiktionary.org/wiki/ara
arina,noun,,flour,,,https://en.wiktionary.org/wiki/arina
aritmetika,noun,,arithmetic,,,https://en.wiktionary.org/wiki/aritmetika
aritos,noun,,earring,,,https://en.wiktionary.org/wiki/aritos
arnibal,noun,,syrup,,,https://en.wiktionary.org/wiki/arnibal
aro,noun,,(international standards) ISO 639-3 language code for Araona.,,,https://en.wiktionary.org/wiki/aro
aroro,noun,,arrowroot,,,https://en.wiktionary.org/wiki/aroro
aros,noun,,plural of aro,,,https://en.wiktionary.org/wiki/aros
arpa,noun,,harp (musical instrument),,,https://en.wiktionary.org/wiki/arpa
arte,noun,,indefinite nominative/accusative plural of art,,,https://en.wiktionary.org/wiki/arte
artikulo,noun,,,,,https://en.wiktionary.org/wiki/artikulo
asawa sang hari,noun,,queen,,,https://en.wiktionary.org/wiki/asawa_sang_hari
asero,noun,,steel,,,https://en.wiktionary.org/wiki/asero
asibar,noun,,aloe vera,,,https://en.wiktionary.org/wiki/asibar
asilo,noun,,"asylum, protection, shelter, refuge",,,https://en.wiktionary.org/wiki/asilo
asin,noun,,salt,,,https://en.wiktionary.org/wiki/asin
asinan,noun,,third-person plural present indicative of asinar,,,https://en.wiktionary.org/wiki/asinan
aslang,noun,,chin,,,https://en.wiktionary.org/wiki/aslang
aslum,noun,,sourness,,,https://en.wiktionary.org/wiki/aslum
aso,noun,,(international standards) ISO 639-3 language code for Dano.,,,https://en.wiktionary.org/wiki/aso
asog,noun,,"(historical) in pre-colonial Bicol;  an effeminate man, who functions as a village priestess or medium",,,https://en.wiktionary.org/wiki/asog
asoy,noun,,useful,,,https://en.wiktionary.org/wiki/asoy
aspalto,noun,,asphalt,,,https://en.wiktionary.org/wiki/aspalto
asugi,noun,,mercury,,,https://en.wiktionary.org/wiki/asugi
asugi nga buhi,noun,,quicksilver,,,https://en.wiktionary.org/wiki/asugi_nga_buhi
asukar,noun,,sugar,,,https://en.wiktionary.org/wiki/asukar
asunto,noun,,"home, residence; unit, housing unit, dwelling unit; dwelling, domicile, habitation (any place for living, especially one constructed for that purpose)
Synonym: asumus
Near-synonym: koti",,,https://en.wiktionary.org/wiki/asunto
asupre,noun,,sulfur,,,https://en.wiktionary.org/wiki/asupre
aswang,noun,,A shapeshifting evil creature in Philippine mythology,,,https://en.wiktionary.org/wiki/aswang
atake,noun,,"attack
Synonyms: salakay, sakyada, surong",,,https://en.wiktionary.org/wiki/atake
atatalo,noun,,caterpillar,,,https://en.wiktionary.org/wiki/atatalo
atay,noun,,(anatomy) liver,,,https://en.wiktionary.org/wiki/atay
atipalo,noun,,earwig,,,https://en.wiktionary.org/wiki/atipalo
atis,noun,,sugar apple (Annona squamosa),,,https://en.wiktionary.org/wiki/atis
atog,noun,,(anatomy) glans penis,,,https://en.wiktionary.org/wiki/atog
atomo,noun,,(physics) atom,,,https://en.wiktionary.org/wiki/atomo
atop,noun,,"On the top of.
He sat atop the mountain, waiting for the end of the world.
1960 November, David Morgan, “""Piggyback""—U.S. success story”, in Trains Illustrated, page 684:For example, when trailers containing new automobiles were first piggybacked two areas of potential damage became evident: (1) diesel locomotive exhaust left a film of oil on the new autos; and (2) auto windshields could be scarred or cracked by the metal-tipped ""tell-tales"" which warn men atop trains of oncoming bridges or tunnels.
1966, The Minnesota Review, volume 6, page 242:A virtue is made out of a necessity, with the child feeling far more atop and master of his oddness, his behavior now deliberate or even clever.
2006, Dewey Lambdin, The Gun Ketch, page 48:""And other things,"" she echoed, nodding slowly and resting her body a little more atop him again.
2014, Paul Salopek, Blessed. Cursed. Claimed., National Geographic (December 2014)[1]
“Monotheism was born here,” Goren tells me atop a cliff overlooking the sheet of iron-colored water.
2025 April 24, Anna Silman, “Now comes the ‘womanosphere’: the anti-feminist media telling women to be thin, fertile and Republican”, in The Guardian‎[2], →ISSN:The leading voices of the womanosphere are using a similar strategy. As Brittany Hugoboom put it in an op–ed for the rightwing outlet Quillette: “Conservatives will never win if they imagine themselves as combatants atop defensive battlements, hurling abuse on the mass media. We need to involve ourselves in the creation of pop culture.”",,,https://en.wiktionary.org/wiki/atop
atsara,noun,,Alternative spelling of atchara (“Filipino pickle”).,,,https://en.wiktionary.org/wiki/atsara
awa,noun,,(international standards) ISO 639-2 & ISO 639-3 language code for Awadhi.,,,https://en.wiktionary.org/wiki/awa
awtopsiya,noun,,autopsy,,,https://en.wiktionary.org/wiki/awtopsiya
ayagan,noun,,sieve,,,https://en.wiktionary.org/wiki/ayagan
ayam-ayam,noun,,ant,,,https://en.wiktionary.org/wiki/ayam-ayam
ayi,noun,,(international standards) ISO 639-3 language code for Leyigha.,,,https://en.wiktionary.org/wiki/ayi
ayo,noun,,"(slang) A greeting.
Synonyms: hey, hi, yo
2004, Michael Daniel Baptiste, Cracked Dreams, page 73:""Ayo, Red. It's the homie Spits on the jack for you, blood."" ""Ayo, homeboy,"" said Red as he excitedly picked up the telephone receiver. ""What's up, fool?""
2007, Reginald L. Hall, In Love with a Thug, page 38:“Ayo, wassup, girl,” he said to Keisha as he continued to walk toward the back area where I stood.  […]  “Ayo, wassup, playa?
2007, Tony J. Ward, Jr., I've Got to Make It to Heaven for Going Through Hell: Part 1, page 39:Ayo Toine, you think they'd put me down?
2007, Nikki Turner, Christmas in the Hood, page 289:""Ayo, fam, you a'ight down there?"" Victorious's cell mate asked.
2008, Treasure Hernandez, Resurrection, page 106:""Ayo, ma, where you going?"" a dude asked her as she walked by him.
2008, Ashley JaQuavis, The Trophy Wife, page 103:""Ayo, Kalil!"" a man's voice said from amidst the crowd. Kalil looked up and saw his lil' man, Peanut, distributing packets of heroin and taking money from the fiends.
2010, R Green Damon, Somethin' to Think about, page 197:""Ayo, Cee, listen to this shit here,"" said Matt, passing him his cell.",,,https://en.wiktionary.org/wiki/ayo
aypon,noun,,protege,,,https://en.wiktionary.org/wiki/aypon
ayuda,noun,,"help, aid
Synonym: aida",,,https://en.wiktionary.org/wiki/ayuda
baba,noun,,,,,https://en.wiktionary.org/wiki/baba
babae,noun,,"dame, maid, mistress, girl",,,https://en.wiktionary.org/wiki/babae
babana,noun,,essive singular of baba,,,https://en.wiktionary.org/wiki/babana
babaye,noun,,woman or girl; female,,,https://en.wiktionary.org/wiki/babaye
babayi,noun,,woman,,,https://en.wiktionary.org/wiki/babayi
babaylan,noun,,A Philippine shaman.,,,https://en.wiktionary.org/wiki/babaylan
babha,noun,,"wound, gash",,,https://en.wiktionary.org/wiki/babha
baboy,noun,,pig,,,https://en.wiktionary.org/wiki/baboy
Bacolodnon,noun,,resident or inhabitant of Bacolod,,,https://en.wiktionary.org/wiki/Bacolodnon
badlu,noun,,phlegm,,,https://en.wiktionary.org/wiki/badlu
bag-ohan,noun,,"(Daet, Partido, Sorsogon) alternative form of bagohan (“novice”)",,,https://en.wiktionary.org/wiki/bag-ohan
baga,noun,,(anatomy) lung,,,https://en.wiktionary.org/wiki/baga
bagani,noun,,"(historical) The class of warrior-leaders of various Lumad ethnic groups of the island of Mindanao, Philippines.",,,https://en.wiktionary.org/wiki/bagani
baganihan,noun,,hero,,,https://en.wiktionary.org/wiki/baganihan
bagat-bagat,noun,,centipede,,,https://en.wiktionary.org/wiki/bagat-bagat
bagatnan,noun,,"south
Synonym: habagatnan",,,https://en.wiktionary.org/wiki/bagatnan
bagis,noun,,plural of bagi,,,https://en.wiktionary.org/wiki/bagis
bagol,noun,,numb; insensible,,,https://en.wiktionary.org/wiki/bagol
bagon,noun,,(rail transport) railroad car (US); railway carriage (UK),,,https://en.wiktionary.org/wiki/bagon
bagoong,noun,,A Philippine condiment made from fermented fish or shrimps.,,,https://en.wiktionary.org/wiki/bagoong
bagrong,noun,,a roaring sound,,,https://en.wiktionary.org/wiki/bagrong
bagsat,noun,,bedbug,,,https://en.wiktionary.org/wiki/bagsat
bagting,noun,,sound of a bell; chime,,,https://en.wiktionary.org/wiki/bagting
bagtis,noun,,mudfish,,,https://en.wiktionary.org/wiki/bagtis
bagyo,noun,,"typhoon, tropical cyclone, storm",,,https://en.wiktionary.org/wiki/bagyo
baha,noun,,"(dated) value, price, cost
Bunlar nəyin bahasına nail oldu? ― At what cost was this achieved?
nəyin bahasına olursa olsun ― no matter what it takes",,,https://en.wiktionary.org/wiki/baha
bahaw,noun,,"cold (for food once served hot)
Synonym: malipot",,,https://en.wiktionary.org/wiki/bahaw
bahawbahaw,noun,,ant,,,https://en.wiktionary.org/wiki/bahawbahaw
bahoy,noun,,"witch, sorceress",,,https://en.wiktionary.org/wiki/bahoy
bairan,noun,,a whetstone,,,https://en.wiktionary.org/wiki/bairan
baka,noun,,"(voodoo) An evil spirit in Haitian belief, often in the form of an animal.
1953, Maya Daren, The Divine Horsemen, McPherson & Company, published 2004, page 113:Under his sign the malevolent bocor may take the shape of an animal, and men may be transformed into terrible bakas.
1969, Milo Rigaud, Secrets of Voodoo, page 83:A person has only to serve the baka incorrectly to have it turn against its owner and do him irremediable harm by reason of the very duality of its composition.
2001, Jennie Marcelle Smith, When the Hands Are Many, page 77:Because a baka can destroy a family's (or even a whole neighborhood's) well-being, there is great interest in catching and destroying them.",,,https://en.wiktionary.org/wiki/baka
bakalaw,noun,,codfish,,,https://en.wiktionary.org/wiki/bakalaw
bakolod,noun,,hill; hillock; mound; slope,,,https://en.wiktionary.org/wiki/bakolod
bakud,noun,,"strength
Synonyms: baskug, bukud, kusug, pag-un",,,https://en.wiktionary.org/wiki/bakud
bakyas,noun,,"(of soil) rocky, stony, barren",,,https://en.wiktionary.org/wiki/bakyas
bal-ag,noun,,a metal file,,,https://en.wiktionary.org/wiki/bal-ag
balaba,noun,,rattan,,,https://en.wiktionary.org/wiki/balaba
balabag,noun,,impediment,,,https://en.wiktionary.org/wiki/balabag
balabaw,noun,,"mouse; rat
Synonyms: ambaw, ilaga",,,https://en.wiktionary.org/wiki/balabaw
balagon,noun,,vine,,,https://en.wiktionary.org/wiki/balagon
balahibo,noun,,body hair,,,https://en.wiktionary.org/wiki/balahibo
balahibo sang hayop,noun,,"fur, sable",,,https://en.wiktionary.org/wiki/balahibo_sang_hayop
balaklon,noun,,"commodities, goods, wares",,,https://en.wiktionary.org/wiki/balaklon
balaligya,noun,,"commodities, goods, merchandise",,,https://en.wiktionary.org/wiki/balaligya
balanak,noun,,(a kind of fish) mullet,,,https://en.wiktionary.org/wiki/balanak
balani,noun,,plural of balanus,,,https://en.wiktionary.org/wiki/balani
balangaw,noun,,"rainbow
Synonyms: hablondawani, dawani",,,https://en.wiktionary.org/wiki/balangaw
balangitaw,noun,,"(animal) alligator, crocodile",,,https://en.wiktionary.org/wiki/balangitaw
balaod,noun,,law (body of rules established in a community by its authorities),,,https://en.wiktionary.org/wiki/balaod
balas,noun,,"(archaic, now chiefly attributive) A type of rose-coloured spinel once thought to be a form of ruby.",,,https://en.wiktionary.org/wiki/balas
balataan,noun,,"(anatomy) uterus, womb",,,https://en.wiktionary.org/wiki/balataan
balatas,noun,,plural of balata,,,https://en.wiktionary.org/wiki/balatas
balatian,noun,,feeling; sensitivity,,,https://en.wiktionary.org/wiki/balatian
balatong,noun,,"(Naga) yardlong bean
Synonyms: hantak, sitaw",,,https://en.wiktionary.org/wiki/balatong
balaw,noun,,shrimp (small),,,https://en.wiktionary.org/wiki/balaw
balay,noun,,"(archaic except Sorsogon) house; home
Synonym: harong",,,https://en.wiktionary.org/wiki/balay
balayan sang sinulatan ukon dinalan,noun,,syntax,,,https://en.wiktionary.org/wiki/balayan_sang_sinulatan_ukon_dinalan
balde,noun,,"bucket, pail",,,https://en.wiktionary.org/wiki/balde
balhas,noun,,sweat,,,https://en.wiktionary.org/wiki/balhas
balidha,noun,,law; legislation,,,https://en.wiktionary.org/wiki/balidha
baligya,noun,,"goods, merchandise",,,https://en.wiktionary.org/wiki/baligya
balihawog,noun,,"bolt, latch",,,https://en.wiktionary.org/wiki/balihawog
balikawang,noun,,(anatomy) haunch,,,https://en.wiktionary.org/wiki/balikawang
baliko,noun,,bent,,,https://en.wiktionary.org/wiki/baliko
balingon,noun,,anchovy,,,https://en.wiktionary.org/wiki/balingon
balisbisan,noun,,eaves,,,https://en.wiktionary.org/wiki/balisbisan
balising,noun,,to relocate; to move something from one place to another,,,https://en.wiktionary.org/wiki/balising
baliskag,noun,,vertebra; spine,,,https://en.wiktionary.org/wiki/baliskag
balita,noun,,news,,,https://en.wiktionary.org/wiki/balita
balitadhan,noun,,honeysuckle,,,https://en.wiktionary.org/wiki/balitadhan
balo,noun,,"ruining, spoiling, destruction",,,https://en.wiktionary.org/wiki/balo
balod,noun,,"(Sorsogon) wave; undulation
Synonyms: alon, hukol",,,https://en.wiktionary.org/wiki/balod
balota,noun,,third-person singular past historic of baloter,,,https://en.wiktionary.org/wiki/balota
balsamo,noun,,Mexican logwood (Haematoxylum brasiletto),,,https://en.wiktionary.org/wiki/balsamo
balunggay,noun,,"a type of tree, the malunggay or horseradish tree, Moringa oleifera",,,https://en.wiktionary.org/wiki/balunggay
baluyot,noun,,sack; bag; pouch; wallet,,,https://en.wiktionary.org/wiki/baluyot
bana,noun,,"(intransitive, Mpakwithi) to climb",,,https://en.wiktionary.org/wiki/bana
banaag,noun,,beam of light,,,https://en.wiktionary.org/wiki/banaag
banag-banag,noun,,"dawn, daybreak",,,https://en.wiktionary.org/wiki/banag-banag
banas,noun,,present of bani,,,https://en.wiktionary.org/wiki/banas
banas sa higad sang suba,noun,,"riverside
Nagaistar ako banas sa higad sang suba.I live by the riverside.",,,https://en.wiktionary.org/wiki/banas_sa_higad_sang_suba
banda,noun,,"(uncountable) A style of Mexican brass band music, emerged in the 19th century.
2007 January 13, Seth Kugel, “The Sounds of Mexico Hit New York Airwaves”, in The New York Times‎[3], archived from the original on 25 January 2021:With very little fanfare, WZAA had become the first FM station in New York offering a format known as Mexican Regiona, which includes genres like ranchera, banda and norteña music.",,,https://en.wiktionary.org/wiki/banda
bandeha,noun,,"platter, plate",,,https://en.wiktionary.org/wiki/bandeha
bandehado,noun,,platter,,,https://en.wiktionary.org/wiki/bandehado
bandera,noun,,flag,,,https://en.wiktionary.org/wiki/bandera
banhay,noun,,a moderate slope or incline,,,https://en.wiktionary.org/wiki/banhay
banig,noun,,"mat
Synonym: hamak",,,https://en.wiktionary.org/wiki/banig
banka,noun,,bank (financial institution),,,https://en.wiktionary.org/wiki/banka
banlas,noun,,desert,,,https://en.wiktionary.org/wiki/banlas
bansag,noun,,"nickname
Synonyms: gaha, lulo",,,https://en.wiktionary.org/wiki/bansag
banta,noun,,to warn someone not to do something,,,https://en.wiktionary.org/wiki/banta
bantay,noun,,attendant,,,https://en.wiktionary.org/wiki/bantay
bantayan,noun,,"guard-house, lookout station",,,https://en.wiktionary.org/wiki/bantayan
bantolinaw,noun,,ebony,,,https://en.wiktionary.org/wiki/bantolinaw
banwa,noun,,"town
Synonym: barangay",,,https://en.wiktionary.org/wiki/banwa
banwahanon,noun,,"related to towns, municipalities or their government; civic",,,https://en.wiktionary.org/wiki/banwahanon
banyo,noun,,bath (the act of bathing),,,https://en.wiktionary.org/wiki/banyo
banga,noun,,five,,,https://en.wiktionary.org/wiki/banga
bangdan,noun,,"cause, reason, motive",,,https://en.wiktionary.org/wiki/bangdan
bangis,noun,,"violence; cruelty
Synonyms: isog, kuri, ringis",,,https://en.wiktionary.org/wiki/bangis
bangka,noun,,a canoe; an outrigger canoe or dugout,,,https://en.wiktionary.org/wiki/bangka
bangkaw,noun,,"spear; harpoon (for hunting, killing animals)",,,https://en.wiktionary.org/wiki/bangkaw
bangkay,noun,,"cadaver; corpse; remains
Synonyms: hawak, lawas, gadan",,,https://en.wiktionary.org/wiki/bangkay
bangkil,noun,,"(zoology) fang
Synonym: tango",,,https://en.wiktionary.org/wiki/bangkil
bangko,noun,,bank,,,https://en.wiktionary.org/wiki/bangko
banglid,noun,,"elevation, hill",,,https://en.wiktionary.org/wiki/banglid
bangon,noun,,to get up,,,https://en.wiktionary.org/wiki/bangon
bao,noun,,(international standards) ISO 639-3 language code for Waimaha.,,,https://en.wiktionary.org/wiki/bao
bapor,noun,,"any craft designed for transportation on water, such as a ship or boat",,,https://en.wiktionary.org/wiki/bapor
bara,noun,,,,,https://en.wiktionary.org/wiki/bara
baraha,noun,,playing card,,,https://en.wiktionary.org/wiki/baraha
barahan,noun,,yardstick,,,https://en.wiktionary.org/wiki/barahan
barandilya,noun,,"rail, railing",,,https://en.wiktionary.org/wiki/barandilya
barangay,noun,,"The smallest local government unit in the Philippines, a subdivision of a city or municipality.
Synonym: barrio
Near-synonyms: (rural) village, (urban) neighborhood, quarter, (urban) city block
1987, Marcelo M. Orense, Nelia R. Marquez, Philippine Yearbook, page 77:Because of this active involvement of the civilian and other auxiliary units (e.g. barangay tanod), the police are able to devote their time and resources to the control and prevention of serious crimes.
1991 October 28, “Miscellaneous and Final Provisions”, in Official Gazette: Republic of the Philippines, volume 87, number 43, page 263:The Government Service Insurance System (GSIS) shall establish and administer an appropriate system under which the punong barangay, the members of the sangguniang barangay, the barangay secretary, the barangay treasurer, and the members of the brangay tanod shall enjoy insurance coverage as provided in this Code and other pertinent laws .
2021, Deogenes Nambayan Agellon, Criminal Law Case Digests:The victim is always addressed as the ""datu"" or rich man of their Barangay and enjoyed an economic ascendancy over Marcelino, a mere barangay tanod.",,,https://en.wiktionary.org/wiki/barangay
barbero,noun,,"barber; hairdresser
Synonyms: parabulog, paratusar, paragunting, paragupit",,,https://en.wiktionary.org/wiki/barbero
barina,noun,,"awl, drill",,,https://en.wiktionary.org/wiki/barina
bario,noun,,barium,,,https://en.wiktionary.org/wiki/bario
barnis,noun,,lacquer; varnish,,,https://en.wiktionary.org/wiki/barnis
barong,noun,,"A cutting weapon similar to a cleaver, with a thick back and thin razor-like edge, used by the Moros of the Philippines.",,,https://en.wiktionary.org/wiki/barong
baroto,noun,,"(Philippines, nautical) A small dugout canoe boat from the Philippines, which normally lacks outriggers and is usually used in calm waters.",,,https://en.wiktionary.org/wiki/baroto
barukan,noun,,(anatomy) bladder,,,https://en.wiktionary.org/wiki/barukan
basi,noun,,stale,,,https://en.wiktionary.org/wiki/basi
basin,noun,,"A wide bowl for washing, sometimes affixed to a wall.
c. 1590–1592 (date written), William Shakespeare, “The Taming of the Shrew”, in Mr. William Shakespeares Comedies, Histories, & Tragedies […] (First Folio), London:  […]  Isaac Iaggard, and Ed[ward] Blount, published 1623, →OCLC, [Act II, scene i]:First, as you know, my house within the cityIs richly furnished with plate and gold,Basins and ewers to lave her dainty hands;
1611, The Holy Bible, […] (King James Version), London:  […]  Robert Barker, […], →OCLC, John 13:5:After that he poureth water into a bason, and began to wash the disciples’ feet, and to wipe them with the towel wherewith he was girded.
1766, T[obias] Smollett, “Letter V”, in Travels through France and Italy. […], volume (please specify |volume=I or II), London:  […]  R[oberts] Baldwin, […], →OCLC:What then, you will say, must a man sit with his chops and fingers up to the ears and knuckles in grease? No; let those who cannot eat without defiling themselves, step into another room, provided with basons and towels: but I think it would be better to institute schools, where youth may learn to eat their victuals, without daubing themselves, or giving offence to the eyes of one another.
1923, Willa Cather, One of Ours‎[1], Book One, Chapter 1:Everybody had washed before going to bed, apparently, and the bowls were ringed with a dark sediment which the hard, alkaline water had not dissolved. Shutting the door on this disorder, he turned back to the kitchen, took Mahailey’s tin basin, doused his face and head in cold water, and began to plaster down his wet hair.
Synonym: sink",,,https://en.wiktionary.org/wiki/basin
baskug,noun,,"loudness (of noise)
Synonym: gansal",,,https://en.wiktionary.org/wiki/baskug
baso,noun,,"(slang) Abbreviation of basically.
i mean yeah it's baso the same tbh",,,https://en.wiktionary.org/wiki/baso
basol,noun,,"blame; reproach
Synonym: sudya",,,https://en.wiktionary.org/wiki/basol
baston,noun,,(heraldry) Obsolete form of baton.,,,https://en.wiktionary.org/wiki/baston
baston ni San Hose,noun,,hollyhock,,,https://en.wiktionary.org/wiki/baston_ni_San_Hose
basura,noun,,"garbage; waste; rubbish; trash
Synonym: ramog",,,https://en.wiktionary.org/wiki/basura
bata,noun,,"A ceremonial double-headed drum played in triplet in the religion of santería, especially in Cuba and Puerto Rico, originally from the Yoruba of Nigeria.
1990 October 28, Paul Simon, “The Rhythm of the Saints”, in The Coast, Warner Bros.:Two guitars, bata, bass drum and tambourine.
2019, Marlon James, Black Leopard, Red Wolf, Hamish Hamilton, page 283:Five drummers in front setting the dance—three beating barrel drums, a fourth beating a double-skin bata, and the fifth beating four small bata tied together.",,,https://en.wiktionary.org/wiki/bata
batad,noun,,sorghum,,,https://en.wiktionary.org/wiki/batad
batakan,noun,,measuring rod; ruler,,,https://en.wiktionary.org/wiki/batakan
batasan,noun,,manners; etiquette,,,https://en.wiktionary.org/wiki/batasan
bati-bati,noun,,"diminutive of batî; gossip, hearsay, rumor",,,https://en.wiktionary.org/wiki/bati-bati
batidor,noun,,whisk,,,https://en.wiktionary.org/wiki/batidor
batiis,noun,,(anatomy) leg,,,https://en.wiktionary.org/wiki/batiis
